frame,cam1_timestamp_us,cam2_timestamp_us,drift_us,drift_ms
588,1768416230283000,1768416230267000,-16000,-16.0
2355,1768416259713000,1768416259697000,-16000,-16.0
4710,1768416298935000,1768416298918000,-17000,-17.0
5888,1768416318547000,1768416318531000,-16000,-16.0
7065,1768416338147000,1768416338131000,-16000,-16.0
11776,1768416416610000,1768416416610000,0,0.0
12365,1768416426434000,1768416426418000,-16000,-16.0
12954,1768416436245000,1768416436228000,-17000,-17.0
14720,1768416465795000,1768416465779000,-16000,-16.0
16487,1768416495250000,1768416495233000,-17000,-17.0
18253,1768416524693000,1768416524676000,-17000,-17.0
18842,1768416534510000,1768416534494000,-16000,-16.0
19431,1768416544327000,1768416544311000,-16000,-16.0
20609,1768416563965000,1768416563949000,-16000,-16.0
21786,1768416583579000,1768416583562000,-17000,-17.0
22964,1768416603224000,1768416603209000,-15000,-15.0
23553,1768416613036000,1768416613020000,-16000,-16.0
24142,1768416622851000,1768416622835000,-16000,-16.0
25319,1768416642399000,1768416642382000,-17000,-17.0
27675,1768416681576000,1768416681560000,-16000,-16.0
28852,1768416701176000,1768416701160000,-16000,-16.0
30030,1768416720836000,1768416720820000,-16000,-16.0
32385,1768416760133000,1768416760116000,-17000,-17.0
33563,1768416779770000,1768416779754000,-16000,-16.0
34741,1768416799403000,1768416799387000,-16000,-16.0
35329,1768416809206000,1768416809189000,-17000,-17.0
36507,1768416828845000,1768416828828000,-17000,-17.0
37096,1768416838662000,1768416838645000,-17000,-17.0
38274,1768416858303000,1768416858286000,-17000,-17.0
40040,1768416887738000,1768416887722000,-16000,-16.0
43573,1768416946588000,1768416946571000,-17000,-17.0
48873,1768417034753000,1768417034737000,-16000,-16.0
49461,1768417044546000,1768417044530000,-16000,-16.0
50639,1768417064162000,1768417064146000,-16000,-16.0
55350,1768417142625000,1768417142609000,-16000,-16.0
55939,1768417152442000,1768417152425000,-17000,-17.0
58294,1768417191663000,1768417191646000,-17000,-17.0
67126,1768417338966000,1768417338949000,-17000,-17.0
69482,1768417378223000,1768417378207000,-16000,-16.0
73015,1768417437088000,1768417437071000,-17000,-17.0
80081,1768417554829000,1768417554812000,-17000,-17.0
87735,1768417682351000,1768417682334000,-17000,-17.0
90091,1768417721605000,1768417721589000,-16000,-16.0
91857,1768417751015000,1768417751015000,0,0.0
117766,1768418182735000,1768418182719000,-16000,-16.0
128365,1768418359340000,1768418359324000,-16000,-16.0
142497,1768418594813000,1768418594797000,-16000,-16.0
146030,1768418653610000,1768418653594000,-16000,-16.0
146619,1768418663426000,1768418663411000,-15000,-15.0
149563,1768418712477000,1768418712461000,-16000,-16.0
151329,1768418741899000,1768418741883000,-16000,-16.0
154862,1768418800758000,1768418800743000,-15000,-15.0
157218,1768418840007000,1768418839991000,-16000,-16.0
158395,1768418859612000,1768418859596000,-16000,-16.0
163695,1768418947891000,1768418947875000,-16000,-16.0
167817,1768419016559000,1768419016544000,-15000,-15.0
170172,1768419055786000,1768419055771000,-15000,-15.0
179593,1768419212689000,1768419212673000,-16000,-16.0
181360,1768419242112000,1768419242096000,-16000,-16.0
183126,1768419271527000,1768419271511000,-16000,-16.0
184893,1768419300962000,1768419300945000,-17000,-17.0
186659,1768419330375000,1768419330359000,-16000,-16.0
187837,1768419350002000,1768419349986000,-16000,-16.0
189014,1768419369608000,1768419369592000,-16000,-16.0
195492,1768419477544000,1768419477528000,-16000,-16.0
197258,1768419506950000,1768419506933000,-17000,-17.0
198436,1768419526580000,1768419526563000,-17000,-17.0
199025,1768419536385000,1768419536368000,-17000,-17.0
200202,1768419555993000,1768419555976000,-17000,-17.0
201380,1768419575612000,1768419575596000,-16000,-16.0
205502,1768419644270000,1768419644253000,-17000,-17.0
209624,1768419712931000,1768419712915000,-16000,-16.0
212568,1768419761969000,1768419761953000,-16000,-16.0
213745,1768419781575000,1768419781559000,-16000,-16.0
216101,1768419820824000,1768419820807000,-17000,-17.0
220223,1768419889816000,1768419889799000,-17000,-17.0
221400,1768419909443000,1768419909426000,-17000,-17.0
222578,1768419929073000,1768419929056000,-17000,-17.0
223167,1768419938877000,1768419938861000,-16000,-16.0
226111,1768419987924000,1768419987908000,-16000,-16.0
229055,1768420036995000,1768420036978000,-17000,-17.0
229644,1768420046814000,1768420046799000,-15000,-15.0
230233,1768420056629000,1768420056612000,-17000,-17.0
230822,1768420066448000,1768420066431000,-17000,-17.0
232588,1768420095879000,1768420095863000,-16000,-16.0
233766,1768420115515000,1768420115499000,-16000,-16.0
234943,1768420135114000,1768420135098000,-16000,-16.0
235532,1768420144928000,1768420144912000,-16000,-16.0
236121,1768420154742000,1768420154726000,-16000,-16.0
242598,1768420262668000,1768420262651000,-17000,-17.0
243187,1768420272475000,1768420272458000,-17000,-17.0
244365,1768420292107000,1768420292090000,-17000,-17.0
254375,1768420458892000,1768420458876000,-16000,-16.0
254964,1768420468704000,1768420468688000,-16000,-16.0
259674,1768420547181000,1768420547165000,-16000,-16.0
263207,1768420606058000,1768420606041000,-17000,-17.0
267918,1768420684540000,1768420684517000,-23000,-23.0
270862,1768420733606000,1768420733590000,-16000,-16.0
275573,1768420812116000,1768420812100000,-16000,-16.0
277339,1768420841539000,1768420841522000,-17000,-17.0
278517,1768420861171000,1768420861154000,-17000,-17.0
279106,1768420870985000,1768420870968000,-17000,-17.0
284994,1768420969133000,1768420969150000,17000,17.0
286172,1768420988757000,1768420988773000,16000,16.0
286761,1768420998566000,1768420998582000,16000,16.0
287349,1768421008364000,1768421008380000,16000,16.0
289116,1768421037799000,1768421037815000,16000,16.0
289705,1768421047610000,1768421047625000,15000,15.0
291471,1768421077035000,1768421077052000,17000,17.0
292060,1768421086846000,1768421086862000,16000,16.0
293827,1768421116286000,1768421116302000,16000,16.0
